fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
08.lut;0.915;0.27;02.sty;0.088;7;23;0.9962;mar.26;0.47;10;4
13.lut;0.46;0.52;02.lut;0.071;12;35;1.0006;03.sty;0.56;9;6
07.lip;0.835;0;02.cze;0.081;6;14;0.9975;03.mar;0.52;09.mar;5
13.lut;0.46;0.52;02.lut;0.071;12;35;1.0006;03.sty;0.56;9;6
08.mar;0.58;0.13;02.wrz;0.096;14;63;0.9984;mar.17;0.62;09.sty;6
08.mar;0.6;0.13;02.cze;0.085;6;24;0.9984;mar.31;0.59;09.lut;6
09.kwi;0.41;0.48;04.cze;0.072;10;20;0.9973;mar.34;0.79;12.lut;7
08.sie;0.48;0.41;03.mar;0.092;26;52;0.9982;mar.31;0.53;10.maj;6
10.sty;0.65;0.37;05.sty;0.11;11;65;1.0026;mar.32;0.64;10.kwi;6
06.mar;0.36;0.19;03.lut;0.075;15;39;0.9956;mar.56;0.52;12.lip;6
08.sie;0.24;0.54;02.maj;0.083;25;57;0.9983;mar.39;0.54;09.lut;5
13.lut;0.38;0.55;02.lip;0.081;5;16;1.0006;lut.98;0.54;09.kwi;5
07.maj;0.64;0;02.kwi;0.077;18;29;0.9965;mar.32;0.6;10;6
08.lut;0.39;0.38;01.maj;0.058;10;29;0.9962;mar.26;0.74;09.sie;5
09.lut;0.755;0.18;02.lut;0.148;10;103;0.9969;lut.87;0.36;10.lut;6
09.cze;0.6;0.5;02.mar;0.079;28;71;0.9997;03.maj;0.57;09.lip;5
09.cze;0.6;0.5;02.mar;0.079;28;71;0.9997;03.maj;0.57;09.lip;5
11.maj;0.31;0.51;02.lut;0.079;14;28;0.9982;03.mar;0.93;09.sie;6
11.kwi;0.46;0.5;02.lip;0.122;4;17;1.0006;mar.13;0.7;10.lut;5
11.mar;0.37;0.41;02.mar;0.088;6;16;0.9988;03.wrz;0.8;09.mar;5
08.mar;0.54;0.24;03.kwi;0.076;16;112;0.9976;mar.27;0.61;09.kwi;5
08.lut;0.56;0.23;03.kwi;0.078;14;104;0.9976;mar.28;0.62;09.kwi;5
10;0.58;0.22;01.wrz;0.08;9;32;0.9974;mar.13;0.55;09.maj;5
07.wrz;0.51;0.25;02.wrz;0.077;21;45;0.9974;mar.49;0.96;12.sty;6
06.sie;0.69;0;05.cze;0.124;21;58;0.9997;mar.46;0.72;10.lut;5
06.sie;0.69;0;05.cze;0.124;21;58;0.9997;mar.46;0.72;10.lut;5
08.sie;0.6;0.29;02.lut;0.098;5;15;0.9988;mar.36;0.49;09.sty;5
08.sie;0.6;0.29;02.lut;0.098;5;15;0.9988;mar.36;0.49;09.sty;5
08.lip;0.54;0.26;02.maj;0.097;7;31;0.9976;mar.27;0.6;09.mar;6
07.cze;0.685;0.23;02.mar;0.111;20;84;0.9964;mar.21;0.61;09.mar;5
08.lip;0.54;0.26;02.maj;0.097;7;31;0.9976;mar.27;0.6;09.mar;6
10.kwi;0.28;0.54;02.lip;0.105;5;19;0.9988;mar.25;0.63;09.maj;5
07.cze;0.41;0.14;3;0.087;21;43;0.9964;mar.32;0.57;10.maj;6
10.sty;0.935;0.22;03.kwi;0.105;11;86;1.001;mar.43;0.64;11.mar;4
07.wrz;0.35;0.21;01.wrz;0.073;46;102;0.9964;mar.27;0.58;09.maj;5
08.lip;0.84;0;01.kwi;0.065;24;33;0.9954;mar.27;0.55;09.lip;5
09.cze;0.88;0.28;02.kwi;0.086;30;147;0.9979;mar.24;0.53;09.kwi;5
09.maj;0.885;0.27;02.mar;0.084;31;145;0.9978;mar.24;0.53;09.kwi;5
07.lip;0.915;0.12;02.lut;0.143;7;23;0.9964;mar.35;0.65;10.lut;7
08.wrz;0.29;0.35;01.wrz;0.067;25;57;0.997;mar.18;0.36;10.mar;6
09.wrz;0.54;0.45;02.mar;0.071;16;40;0.9991;mar.39;0.62;09.kwi;5
09.maj;0.59;0.44;02.mar;0.071;21;68;0.9992;mar.46;0.63;09.maj;5
09.wrz;0.54;0.45;02.mar;0.071;16;40;0.9991;mar.39;0.62;09.kwi;5
09.maj;0.59;0.44;02.mar;0.071;21;68;0.9992;mar.46;0.63;09.maj;5
09.wrz;0.54;0.45;02.mar;0.071;16;40;0.9991;mar.39;0.62;09.kwi;5
07.sie;0.64;0.1;6;0.115;5;11;0.9984;mar.37;0.69;10.sty;7
07.mar;0.67;0.05;03.cze;0.107;6;20;0.9972;03.kwi;0.63;10.sty;5
08.mar;0.845;0.01;02.lut;0.07;5;14;0.9967;mar.32;0.58;11;4
08.lip;0.48;0.3;02.sie;0.066;10;28;0.9964;mar.33;0.67;11.lut;7
06.lip;0.42;0.27;08.cze;0.068;24;148;0.9948;mar.16;0.57;11.mar;6
10.lip;0.43;0.39;02.lut;0.106;8;32;0.9986;lut.89;0.5;09.cze;5
09.sie;0.88;0.25;02.maj;0.104;35;155;1.001;mar.41;0.67;11.lut;5
15.wrz;0.36;0.65;07.maj;0.096;22;71;0.9976;lut.98;0.84;14.wrz;5
09.kwi;0.33;0.59;02.sie;0.079;9;30;0.9976;03.gru;0.54;12;6
08.cze;0.47;0.47;02.kwi;0.074;7;29;0.9979;03.sie;0.46;09.maj;5
09.lip;0.55;0.17;02.wrz;0.087;20;53;1.0004;mar.14;0.61;09.kwi;5
10.lip;0.43;0.39;02.lut;0.106;8;32;0.9986;lut.89;0.5;09.cze;5
12;0.5;0.59;01.kwi;0.073;23;42;0.998;lut.92;0.68;10.maj;7
07.lut;0.52;0.07;01.kwi;0.074;5;20;0.9973;mar.32;0.81;09.cze;6
07.sty;0.84;0.02;04.kwi;0.096;5;13;0.997;mar.41;0.57;11;4
07.lut;0.52;0.07;01.kwi;0.074;5;20;0.9973;mar.32;0.81;09.cze;6
07.maj;0.42;0.31;01.cze;0.08;15;42;0.9978;mar.31;0.64;9;5
07.lut;0.57;0.06;01.cze;0.076;9;27;0.9972;mar.36;0.7;09.cze;6
10.sty;0.28;0.46;01.sie;0.05;5;13;0.9974;03.kwi;0.79;10.lut;6
12.sty;0.4;0.52;2;0.092;15;54;1;03.mar;0.66;10.lut;5
09.kwi;0.59;0.14;2;0.084;25;48;0.9981;mar.14;0.56;09.lip;5
08.mar;0.49;0.36;01.sie;0.222;6;16;0.998;mar.18;0.6;09.maj;6
11.mar;0.34;0.45;2;0.082;6;15;0.9988;lut.94;0.66;09.lut;6
10;0.73;0.43;02.mar;0.059;15;31;0.9966;mar.15;0.57;11;5
11.mar;0.34;0.45;2;0.082;6;15;0.9988;lut.94;0.66;09.lut;6
06.wrz;0.4;0.24;02.maj;0.083;30;45;0.9959;mar.26;0.58;10;5
08.lut;0.73;0.21;01.lip;0.074;5;13;0.9968;03.lut;0.52;09.maj;5
09.sie;sty.24;0.34;2;0.079;32;151;0.998;mar.15;0.53;09.maj;5
08.lut;0.73;0.21;01.lip;0.074;5;13;0.9968;03.lut;0.52;09.maj;5
10.sie;0.4;0.41;02.lut;0.084;7;17;0.9984;03.sie;0.67;09.mar;6
09.mar;0.41;0.39;02.lut;0.064;12;31;0.9984;mar.26;0.65;10.lut;5
10.sie;0.4;0.41;02.lut;0.084;7;17;0.9984;03.sie;0.67;09.mar;6
08.cze;0.8;0.11;02.mar;0.084;12;31;0.9979;03.kwi;0.48;09.wrz;5
08.mar;0.78;0.1;02.cze;0.081;45;87;0.9983;mar.48;0.53;10;5
10.sie;0.26;0.45;03.mar;0.06;20;49;0.9972;mar.13;0.54;09.cze;5
13.mar;0.43;0.58;01.wrz;0.07;15;40;1.0004;03.cze;0.49;9;5
8;0.45;0.23;02.lut;0.094;16;29;0.9962;mar.21;0.49;10.lut;6
08.maj;0.46;0.31;lut.25;0.078;32;58;0.998;mar.33;0.54;09.sie;5
08.sty;0.78;0.23;02.cze;0.059;5;15;0.997;mar.37;0.56;11.mar;5
09.sie;0.98;0.32;02.mar;0.078;35;152;0.998;mar.25;0.48;09.kwi;5
08.sty;0.78;0.23;02.cze;0.059;5;15;0.997;mar.37;0.56;11.mar;5
07.sty;0.65;0.18;01.sie;0.07;13;40;0.997;mar.44;0.6;09.sty;5
09.sty;0.64;0.23;03.sty;0.095;13;38;0.9998;mar.28;0.59;09.lip;5
07.lip;0.66;0.04;01.cze;0.039;4;9;0.9962;03.kwi;0.47;09.kwi;5
08.sty;0.38;0.48;01.sie;0.157;5;17;0.9976;03.mar;0.20;09.kwi;5
07.kwi;1.185;0;kwi.25;0.097;5;14;0.9966;mar.63;0.54;10.lip;3
09.lut;0.92;0.24;02.cze;0.087;12;93;0.9998;mar.48;0.54;09.sie;5
08.cze;0.49;0.51;2;0.422;16;62;0.9979;03.mar;0.17;9;5
9;0.48;0.32;02.sie;0.084;21;122;0.9984;mar.32;0.62;09.kwi;5
9;0.47;0.31;02.lip;0.084;24;125;0.9984;mar.31;0.61;09.kwi;5
05.sty;0.47;0.02;01.mar;0.034;18;44;0.9921;03.wrz;0.62;12.sie;6
7;0.65;0.02;02.sty;0.066;8;25;0.9972;mar.47;0.67;09.maj;6
7;0.65;0.02;02.sty;0.066;8;25;0.9972;mar.47;0.67;09.maj;6
09.kwi;0.615;0.28;03.lut;0.087;18;72;1.0001;mar.31;0.53;09.lip;5
11.sie;0.38;0.55;02.sty;0.071;5;19;0.9986;03.lis;0.62;10.sie;6
10.cze;01.lut;0.43;02.wrz;0.076;26;88;0.9984;03.sie;0.57;10.sty;6
7;0.65;0.02;02.sty;0.066;8;25;0.9972;mar.47;0.67;09.maj;6
7;0.64;0.02;02.sty;0.067;9;23;0.997;mar.47;0.67;09.kwi;6
07.maj;0.38;0.48;02.cze;0.073;22;84;0.9972;mar.32;0.7;09.cze;4
09.sty;0.765;0.04;01.cze;0.078;4;14;0.998;mar.29;0.54;09.lip;4
08.kwi;1.035;0.15;6;0.073;11;54;0.999;mar.37;0.49;09.wrz;5
7;0.78;0.08;2;0.093;10;19;0.9956;03.kwi;0.47;10;5
07.kwi;0.49;0.19;3;0.077;16;37;0.9966;mar.37;0.51;10.maj;5
07.sie;0.545;0.12;02.maj;0.068;11;35;0.996;mar.34;0.61;11.cze;6
09.lip;0.31;0.47;01.cze;0.062;13;33;0.9983;mar.27;0.66;10;6
10.cze;1.025;0.43;02.sie;0.08;21;84;0.9985;03.cze;0.57;10.sty;5
08.wrz;0.565;0.34;3;0.093;16;112;0.9998;mar.38;0.61;09.maj;5
08.lip;0.69;0;03.lut;0.084;13;33;0.9992;mar.36;0.45;09.kwi;5
8;0.43;0.36;02.mar;0.075;10;48;0.9976;mar.34;0.46;09.kwi;5
09.wrz;0.74;0.28;02.cze;0.078;21;77;0.998;mar.28;0.51;09.sie;5
07.lut;0.49;0.18;02.lip;0.069;13;34;0.9967;mar.29;0.48;09.lut;6
8;0.43;0.36;02.mar;0.075;10;48;0.9976;mar.34;0.46;09.kwi;5
07.cze;0.46;0.11;02.cze;0.079;12;49;0.9968;mar.21;0.57;10;5
08.kwi;0.56;0.04;2;0.082;10;22;0.9976;mar.22;0.44;09.cze;5
07.sty;0.66;0;03.wrz;0.086;17;45;0.9976;mar.46;0.54;09.maj;5
08.kwi;0.56;0.04;2;0.082;10;22;0.9976;mar.22;0.44;09.cze;5
08.wrz;0.48;0.24;lut.85;0.094;35;106;0.9982;03.sty;0.53;09.lut;5
07.cze;0.42;0.08;02.lip;0.084;15;48;0.9968;mar.21;0.59;10;5
07.sty;0.31;0.3;02.lut;0.053;36;127;0.9965;lut.94;0.62;09.maj;5
07.maj;1.115;0.1;03.sty;0.086;5;12;0.9958;mar.54;0.6;11.lut;4
9;0.66;0.17;3;0.077;5;13;0.9976;mar.29;0.55;10.kwi;5
08.sty;0.72;0.09;02.sie;0.084;18;49;0.9994;mar.43;0.72;11.sty;6
06.kwi;0.57;0.02;01.sie;0.067;4;11;0.997;mar.46;0.68;09.maj;5
06.kwi;0.57;0.02;01.sie;0.067;4;11;0.997;mar.46;0.68;09.maj;5
06.kwi;0.865;0.03;03.lut;0.071;27;58;0.995;mar.61;0.49;12.lip;6
09.maj;0.55;0.66;02.mar;0.387;12;37;0.9982;mar.17;0.67;09.cze;5
08.wrz;0.875;0.13;mar.45;0.088;4;14;0.9994;mar.44;0.52;11.maj;5
07.mar;0.835;0.03;02.sty;0.092;10;19;0.9966;mar.39;0.47;09.cze;5
7;0.45;0.34;02.lip;0.082;16;72;0.998;mar.55;0.6;09.maj;5
07.lip;0.56;0.2;2;0.075;9;39;0.9987;mar.48;0.62;09.mar;5
07.lip;0.965;0.1;02.sty;0.112;11;22;0.9963;mar.26;0.5;09.maj;5
07.lip;0.965;0.1;02.sty;0.112;11;22;0.9963;mar.26;0.5;09.maj;5
08.lut;0.59;0;02.maj;0.093;19;58;1.0002;03.maj;0.65;09.mar;6
9;0.46;0.23;02.sie;0.092;28;104;0.9983;03.sty;0.56;09.lut;5
9;0.69;0;02.kwi;0.088;19;38;0.999;mar.35;0.6;09.mar;5
08.mar;0.76;0.29;04.lut;0.075;12;16;0.9965;mar.45;0.68;11.maj;6
09.lut;0.53;0.24;02.cze;0.078;28;139;0.99788;mar.21;0.57;09.maj;5
06.maj;0.615;0;01.wrz;0.065;9;18;0.9972;mar.46;0.65;09.lut;5
11.cze;0.41;0.58;02.sie;0.096;25;101;1.00024;mar.13;0.53;10;5
11.sty;0.39;0.54;02.lip;0.095;21;101;1.0001;mar.13;0.51;09.maj;5
07.mar;0.51;0.18;02.sty;0.07;12;28;0.99768;mar.52;0.73;09.maj;6
08.lut;0.34;0.38;02.maj;0.08;12;57;0.9978;03.mar;0.47;9;6
08.cze;0.33;0.4;02.cze;0.083;16;68;0.99782;03.mar;0.48;09.kwi;5
07.lut;0.5;0.18;02.sty;0.071;12;31;0.99761;mar.52;0.72;09.cze;6
07.mar;0.51;0.18;02.sty;0.07;12;28;0.99768;mar.52;0.73;09.maj;6
08.mar;0.65;0.1;02.wrz;0.089;17;40;0.99803;mar.29;0.55;09.maj;5
08.mar;0.65;0.1;02.wrz;0.089;17;40;0.99803;mar.29;0.55;09.maj;5
07.cze;0.54;0.13;02.maj;0.097;24;66;0.99785;mar.39;0.61;09.kwi;5
08.mar;0.65;0.1;02.wrz;0.089;17;40;0.99803;mar.29;0.55;09.maj;5
07.sie;0.48;0.68;01.lip;0.415;14;32;0.99656;03.wrz;0.20;09.sty;6
07.sie;0.91;0.07;01.wrz;0.058;22;47;0.99525;mar.51;0.43;10.lip;6
06.mar;0.98;0.01;2;0.057;15;33;0.99488;03.cze;0.46;11.lut;6
08.sty;0.87;0;02.lut;0.084;10;31;0.99656;mar.25;0.5;09.sie;5
08.sty;0.87;0;02.lut;0.084;10;31;0.99656;mar.25;0.5;09.sie;5
08.sie;0.42;0.21;02.maj;0.092;33;88;0.99823;mar.19;0.52;09.lut;5
9;0.58;0.25;02.sie;0.075;9;104;0.99779;mar.23;0.57;09.lip;5
09.mar;0.655;0.26;2;0.096;5;35;0.99738;mar.25;0.42;09.cze;5
08.sie;0.7;0;01.lip;0.069;8;19;0.99701;mar.31;0.53;10;6
09.mar;0.655;0.26;2;0.096;5;35;0.99738;mar.25;0.42;09.cze;5
09.sty;0.68;0.11;02.sie;0.093;11;44;0.99888;mar.31;0.55;09.maj;6
09.lut;0.67;0.1;3;0.091;12;48;0.99888;mar.31;0.54;09.maj;6
08.sie;0.59;0.18;02.wrz;0.089;12;74;0.99738;mar.14;0.54;09.kwi;5
07.maj;0.6;0.32;02.lip;0.103;13;98;0.99938;mar.45;0.62;09.maj;5
07.sty;0.59;0.02;02.mar;0.082;24;94;0.99744;mar.55;0.53;09.lip;6
07.wrz;0.72;0.01;01.wrz;0.076;7;32;0.99668;mar.39;0.54;09.cze;5
07.sty;0.59;0.02;02.mar;0.082;24;94;0.99744;mar.55;0.53;09.lip;6
09.kwi;0.685;0.26;02.kwi;0.082;23;143;0.9978;mar.28;0.55;09.kwi;5
09.maj;0.57;0.27;02.mar;0.082;23;144;0.99782;mar.27;0.55;09.kwi;5
07.wrz;0.4;0.29;01.sie;0.157;1;44;0.9973;03.mar;0.92;09.maj;6
07.wrz;0.4;0.3;01.sie;0.157;2;45;0.99727;mar.31;0.91;09.maj;6
07.lut;1;0;3;0.102;7;16;0.99586;mar.43;0.46;10;5
06.wrz;0.765;0.18;02.kwi;0.243;05.maj;48;0.99612;03.kwi;0.6;10.mar;6
06.wrz;0.635;0.17;02.kwi;0.241;6;18;0.9961;03.kwi;0.59;10.mar;6
08.mar;0.43;0.3;03.kwi;0.079;7;34;0.99788;mar.36;0.61;10.maj;5
07.sty;0.52;0.03;02.cze;0.076;21;92;0.99745;03.maj;0.6;09.sie;5
7;0.57;0;2;0.19;12;45;0.99676;mar.31;0.6;09.kwi;6
06.maj;0.46;0.14;02.kwi;0.114;9;37;0.99732;mar.66;0.65;09.sie;5
9;0.82;0.05;02.kwi;0.081;26;96;0.99814;mar.36;0.53;10;5
06.maj;0.46;0.14;02.kwi;0.114;9;37;0.99732;mar.66;0.65;09.sie;5
07.sty;0.59;0.01;02.maj;0.077;20;85;0.99746;mar.55;0.59;09.sie;5
09.wrz;0.35;0.41;02.mar;0.083;11;61;0.9982;mar.21;0.5;09.maj;5
09.wrz;0.35;0.41;02.mar;0.083;11;61;0.9982;mar.21;0.5;09.maj;5
10;0.56;0.24;02.lut;0.079;19;58;0.9991;mar.18;0.56;10.sty;6
10;0.56;0.24;02.lut;0.079;19;58;0.9991;mar.18;0.56;10.sty;6
08.cze;0.63;0.17;02.wrz;0.099;21;119;0.998;03.wrz;0.52;09.mar;5
07.kwi;0.37;0.43;02.cze;0.082;18;82;0.99708;mar.33;0.68;09.lip;6
08.sie;0.64;0.17;02.wrz;0.084;25;130;0.99818;mar.23;0.54;09.cze;5
07.sty;0.61;0.02;02.maj;0.081;17;87;0.99745;mar.48;0.6;09.lip;6
07.lip;0.6;0;02.cze;0.055;7;13;0.99639;mar.38;0.56;10.sie;5
10.sty;0.27;0.54;02.mar;0.065;7;26;0.99531;mar.17;0.53;12.maj;6
10.sie;0.89;0.3;02.cze;0.132;7;60;0.99786;lut.99;0.18;10.lut;5
08.lip;0.46;0.31;02.maj;0.126;24;64;0.99746;03.sty;0.74;09.cze;5
09.mar;0.37;0.44;01.cze;0.038;21;42;0.99526;mar.24;0.81;10.sie;7
09.kwi;0.5;0.34;03.cze;0.082;5;14;0.9987;mar.29;0.52;10.lip;6
09.kwi;0.5;0.34;03.cze;0.082;5;14;0.9987;mar.29;0.52;10.lip;6
07.lut;0.61;0.08;4;0.082;26;108;0.99641;mar.25;0.51;09.kwi;5
08.cze;0.55;0.09;03.mar;0.068;8;17;0.99735;mar.23;0.44;10;5
05.sty;0.585;0;01.lip;0.044;14;86;0.99264;mar.56;0.94;12.wrz;7
07.lip;0.56;0.08;02.maj;0.114;14;46;0.9971;mar.24;0.66;09.cze;6
08.kwi;0.52;0.22;02.lip;0.084;4;18;0.99682;mar.26;0.57;09.wrz;6
08.lut;0.28;0.4;02.kwi;0.052;4;10;0.99356;mar.33;0.7;12.sie;7
08.kwi;0.25;0.39;2;0.041;4;10;0.99386;mar.27;0.71;12.maj;7
08.lut;0.28;0.4;02.kwi;0.052;4;10;0.99356;mar.33;0.7;12.sie;7
07.kwi;0.53;0.12;01.wrz;0.165;4;12;0.99702;mar.26;0.86;09.lut;5
07.cze;0.48;0.31;02.sie;0.07;4;15;0.99693;mar.22;0.55;10.mar;6
07.mar;0.49;0.1;02.cze;0.068;4;14;0.99562;03.mar;0.47;10.maj;5
12.wrz;0.5;0.55;02.sie;0.072;7;24;1.00012;03.wrz;0.68;10.wrz;6
10.sie;0.45;0.33;02.maj;0.099;20;38;0.99818;mar.24;0.71;10.sie;5
06.wrz;0.39;0.24;02.sty;0.102;4;7;0.99462;mar.44;0.58;11.kwi;4
12.cze;0.41;0.54;02.sie;0.103;19;41;0.99939;mar.21;0.76;11.mar;6
10.sie;0.45;0.33;02.maj;0.099;20;38;0.99818;mar.24;0.71;10.sie;5
09.sie;0.51;0.19;03.lut;0.081;8;30;0.9984;mar.23;0.58;10.maj;6
10.sie;0.29;0.42;01.cze;0.084;19;27;0.99545;mar.28;0.73;11.wrz;6
07.sty;0.715;0;lut.35;0.071;21;47;0.99632;mar.29;0.45;09.kwi;5
09.sty;0.66;0.15;03.lut;0.097;9;59;0.99976;mar.28;0.54;09.cze;5
7;0.685;0;01.wrz;0.099;9;22;0.99606;mar.34;0.6;09.lip;5
04.wrz;0.42;0;02.sty;0.048;16;42;0.99154;mar.71;0.74;14;7
06.lip;0.54;0.13;2;0.076;15;36;0.9973;mar.61;0.64;09.sie;5
06.lip;0.54;0.13;2;0.076;15;36;0.9973;mar.61;0.64;09.sie;5
07.sty;0.48;0.28;02.sie;0.068;6;16;0.99682;mar.24;0.53;10.mar;5
07.sty;0.46;0.14;02.sie;0.076;15;37;0.99624;mar.36;0.49;10.lip;5
07.maj;0.27;0.34;02.mar;0.05;4;8;0.9951;03.kwi;0.64;11;7
07.sty;0.46;0.14;02.sie;0.076;15;37;0.99624;mar.36;0.49;10.lip;5
07.sie;0.57;0.09;02.mar;0.065;34;45;0.99417;mar.46;0.74;12.lip;8
05.wrz;0.61;0.08;02.sty;0.071;16;24;0.99376;mar.56;0.77;11.sty;6
07.maj;0.685;0.07;02.maj;0.058;5;9;0.99632;mar.38;0.55;10.wrz;4
05.wrz;0.61;0.08;02.sty;0.071;16;24;0.99376;mar.56;0.77;11.sty;6
10.kwi;0.44;0.42;01.maj;0.145;34;48;0.99832;mar.38;0.86;09.wrz;3
11.cze;0.47;0.44;01.cze;0.147;36;51;0.99836;mar.38;0.86;09.wrz;4
08.sie;0.685;0.26;01.cze;0.088;16;23;0.99694;mar.32;0.47;09.kwi;5
07.cze;0.665;0.1;01.maj;0.066;27;55;0.99655;mar.39;0.51;09.mar;5
06.lip;0.28;0.28;02.kwi;0.012;36;100;0.99064;mar.26;0.39;11.lip;7
06.lip;0.28;0.28;02.kwi;0.012;36;100;0.99064;mar.26;0.39;11.lip;7
10.sty;0.31;0.35;01.cze;0.075;9;28;0.99672;mar.24;0.83;11.lut;7
6;0.5;0.04;02.lut;0.092;13;26;0.99647;mar.46;0.47;10;5
11.sty;0.42;0.47;lut.65;0.085;9;34;0.99736;mar.24;0.77;12.sty;7
06.cze;0.66;0;3;0.115;21;31;0.99629;mar.45;0.63;10.mar;5
10.cze;0.5;0.45;02.cze;0.119;34;68;0.99708;mar.23;0.72;10.wrz;6
07.sty;0.685;0.35;2;0.088;9;92;0.9963;mar.28;0.62;09.kwi;5
09.wrz;0.25;0.46;01.lip;0.062;26;42;0.9959;mar.18;0.83;10.cze;6
06.kwi;0.64;0.21;01.sie;0.081;14;31;0.99689;mar.59;0.66;09.sie;5
06.kwi;0.64;0.21;01.sie;0.081;14;31;0.99689;mar.59;0.66;09.sie;5
07.kwi;0.68;0.16;01.sie;0.078;12;39;0.9977;03.maj;0.7;09.wrz;6
06.kwi;0.64;0.21;01.sie;0.081;14;31;0.99689;mar.59;0.66;09.sie;5
06.kwi;0.63;0.21;01.cze;0.08;12;32;0.99689;mar.58;0.66;09.sie;5
09.mar;0.43;0.44;01.wrz;0.085;9;22;0.99708;mar.28;0.55;09.maj;5
09.mar;0.43;0.44;01.wrz;0.085;9;22;0.99708;mar.28;0.55;09.maj;5
8;0.42;0.32;02.maj;0.08;26;122;0.99801;mar.22;0.20;09.lip;5
09.mar;0.36;0.39;01.maj;0.08;41;55;0.99652;mar.47;0.73;10.wrz;6
09.mar;0.36;0.39;01.maj;0.08;41;55;0.99652;mar.47;0.73;10.wrz;6
07.cze;0.735;0.02;02.maj;0.071;10;14;0.99538;mar.51;0.71;11.lip;7
09.mar;0.36;0.39;01.maj;0.08;41;55;0.99652;mar.47;0.73;10.wrz;6
08.lut;0.26;0.34;02.maj;0.073;16;47;0.99594;03.kwi;0.78;11.mar;7
11.lip;0.28;0.47;01.lip;0.054;17;32;0.99686;mar.15;0.67;10.cze;7
06.sie;0.56;0.22;01.sie;0.074;15;24;0.99438;03.kwi;0.82;11.lut;6
07.lut;0.62;0.06;02.lip;0.077;15;85;0.99746;mar.51;0.54;09.maj;5
05.sie;01.sty;0.66;2;0.039;15;88;0.99357;mar.66;0.6;11.maj;6
07.maj;0.42;0.32;02.lip;0.067;7;25;0.99628;mar.24;0.44;10.kwi;5
07.lut;0.62;0.06;02.maj;0.078;17;84;0.99746;mar.51;0.53;09.lip;5
07.lut;0.62;0.06;02.lip;0.077;15;85;0.99746;mar.51;0.54;09.maj;5
07.lut;0.635;0.07;02.cze;0.077;16;86;0.99748;mar.51;0.54;09.lip;5
06.sie;0.49;0.22;02.mar;0.071;13;24;0.99438;mar.41;0.83;11.mar;6
06.wrz;0.51;0.23;2;0.072;13;22;0.99438;03.kwi;0.84;11.lut;6
06.sie;0.56;0.22;01.sie;0.074;15;24;0.99438;03.kwi;0.82;11.lut;6
07.cze;0.63;0.03;2;0.08;27;43;0.99578;mar.44;0.64;10.wrz;6
07.lip;0.715;0.01;02.sty;0.064;31;43;0.99371;mar.41;0.57;11.sie;6
06.wrz;0.56;0.03;01.maj;0.086;36;46;0.99522;mar.53;0.57;10.cze;5
07.mar;0.35;0.24;2;0.067;28;48;0.99576;mar.43;0.54;10;4
09.sty;0.21;0.37;01.cze;0.067;6;10;0.99552;mar.23;0.58;11.sty;7
10.kwi;0.38;0.46;02.sty;0.104;6;10;0.99664;03.gru;0.65;11.sie;7
08.sie;0.31;0.4;02.sie;0.109;7;16;0.99614;mar.31;0.79;11.sie;7
07.sty;0.47;0;02.lut;0.067;7;14;0.99517;03.kwi;0.58;10.wrz;4
07.lip;0.715;0.01;02.sty;0.064;31;43;0.99371;mar.41;0.57;11.sie;6
08.sie;0.61;0.19;4;0.094;30;69;0.99787;mar.22;0.5;10;6
07.lut;0.6;0.04;02.maj;0.076;18;88;0.99745;mar.53;0.55;09.maj;5
09.lut;0.56;0.18;01.cze;0.078;10;21;0.99576;mar.15;0.49;09.wrz;5
07.cze;0.715;0;02.sty;0.068;30;35;0.99533;mar.48;0.65;11.kwi;6
08.kwi;0.31;0.29;03.sty;0.194;14;26;0.99536;mar.22;0.78;12;6
07.lut;0.6;0.04;02.maj;0.076;18;88;0.99745;mar.53;0.55;09.maj;5
08.sie;0.61;0.19;4;0.094;30;69;0.99787;mar.22;0.5;10;6
08.wrz;0.75;0.14;02.maj;0.086;9;30;0.99824;mar.34;0.64;10.maj;5
9;0.8;0.12;02.kwi;0.083;8;28;0.99836;mar.33;0.65;10.kwi;6
10.lip;0.52;0.38;02.cze;0.066;29;56;0.99577;mar.15;0.79;12.sty;7
06.sie;0.57;0;02.maj;0.072;32;64;0.99491;mar.43;0.56;11.lut;6
10.lip;0.9;0.34;06.cze;0.112;23;99;1.00289;mar.22;0.68;09.mar;5
07.lut;0.34;0.24;2;0.071;30;52;0.99576;mar.44;0.58;10.sty;5
07.lut;0.66;0.03;02.mar;0.078;16;86;0.99743;mar.53;0.57;09.lip;5
10.sty;0.45;0.23;01.wrz;0.082;10;18;0.99774;mar.22;0.65;09.mar;6
07.lut;0.66;0.03;02.mar;0.078;16;86;0.99743;mar.53;0.57;09.lip;5
07.lut;0.63;0.03;02.lut;0.08;17;88;0.99745;mar.53;0.58;09.sie;6
07.sty;0.59;0.01;02.mar;0.08;27;43;0.9955;mar.42;0.58;10.lip;6
08.mar;0.31;0.39;02.kwi;0.078;17;43;0.99444;mar.31;0.77;12.maj;7
07.sty;0.59;0.01;02.mar;0.08;27;43;0.9955;mar.42;0.58;10.lip;6
08.mar;0.31;0.39;02.kwi;0.078;17;43;0.99444;mar.31;0.77;12.maj;7
08.mar;01.lut;0.02;03.kwi;0.084;6;11;0.99892;mar.48;0.49;11;3
